Aeroporto Anaa, Anaa, Polinésia Francesa
Mar del Tuyu, Buenos Aires, Argentina
Costa del este, Buenos Aires, Argentina
San Clemente del Tuyu, Buenos Aires, Argentina
Tuy Hoa, Tinh Phu Yen, Vietname
Santa Teresita, Buenos Aires, Argentina
Aeroporto Morafenobe, Morafenobe, Madagáscar
Aeroporto Cherry Capital, Traverse City, Estados Unidos
Tver, Tverskaya Oblast, Rússia
Aeroporto Regional, Thief River Falls, Estados Unidos
Aeroporto Matei, Taveuni, Fiji
Aeroporto Dawe, Tavoy, Mianmar [Birmânia]
Aeroporto Twin Hills, Twin Hills, Estados Unidos
Aeroporto Toowoomba, Toowoomba, Austrália
Twentynine Palms, Califórnia, Estados Unidos
Aeroporto Joslin Field - Magic Valley Regional, Twin Falls, Estados Unidos
Twin Hills, Alasca, Estados Unidos
Twin Falls, Idaho, Estados Unidos
Aeroporto Tewantin, Tewantin, Austrália
Two Harbors, Minnesota, Estados Unidos
Aeroporto Torwood, Torwood, Austrália
Aeroporto Tawitawi, Tawi Tawi, Filipinas
Aeroporto Tawau, Tawau, Malásia
Aeroporto Tawa, Tawa, Papua-Nova Guiné
Aeropuerto de Teixera de Freitas, Teixeira de Freitas, Brasil
Aeroporto Taichung, Taichung, Taiwan
Aeroporto Municipal, Texarkana, Estados Unidos
Aeroporto Berlin-tegel / Otto Lilienthal, Berlim, Alemanha
Aeroporto Teminabuan, Teminabuan, Indonésia
Aeroporto Tunxi, Tunxi, República Popular da China
Aeroporto Tanbar, Tanbar, Austrália
Aeroporto Tabou, Tabou, Costa do Marfim
Aeroporto Tula, Tula, Rússia
Aeroporto Tibooburra, Tibooburra, Austrália
Aeroporto Torsby, Torsby, Suécia
Aeroporto Thylungra, Thylungra, Austrália
Tyler, Texas, Estados Unidos
Aeroporto Staniel Cay, Staniel Cay, Bahamas
Aeroporto Taiyuan, Taiyuan, República Popular da China
Tyonek, Alasca, Estados Unidos
Aeroporto Tobermorey, Tobermory, Reino Unido
Innsbruck, Tirol, Áustria
Aeroporto Mc Ghee Tyson, Knoxville, Estados Unidos
Tyumem, Rússia
Kyzyl, Respublika Tyva, Rússia
Tzaneen, África do Sul
Aeroporto South Andros, South Andros, Bahamas
Aeroporto Trabzon, Trabzon, Turquia
Aeroporto Mount Aue, Mount Aue, Papua-Nova Guiné
Aeroporto Ua Huka, Ua Huka, Polinésia Francesa
Aeroporto Suai, Suai, República Democrática de Timor-Leste
Aeroporto Narsarsuaq, Narssarssuaq, Groenlândia
Aeroporto Luau, Luau, Angola
Aeroporto Ua Pou, Ua Pu, Polinésia Francesa
Aeroporto San Juan, San Juan, Argentina
Aeroporto Samburu, Samburu, Quênia
Uaxactun, Peten, Guatemala
Ubatuba, São Paulo, Brasil
Uba, Minas Gerais, Brasil
Ubaitaba, Bahia, Brasil
Ubata, Bahia, Brasil
Ubajay, Entre Rios, Argentina
Ubaira, Bahia, Brasil
Ubajara, Ceará, Brasil
Aeroporto Mabuiag Island, Mabuiag Island, Austrália
Uberaba, Minas Gerais, Brasil
Ube, Yamaguchi-ken, Japão
úbeda, Andaluzia, Espanha
Uberlândia, Minas Gerais, Brasil
Ubiretama, Rio Grande do Sul, Brasil
Ubirata, Parana, Brasil
Aeroporto Ube, Ube, Japão
Ubon Ratchathni, Tailândia
Aeroporto Muang Ubon, Ubon Ratchathni, Tailândia
Ubud, Provinsi Bali, Indonésia
Ucacha, Córdoba, Argentina
Pucallpa, Ucayali, Peru
Uchiza, Peru
Aeroporto Lutsk, Lutsk, Ucrânia
Aeroporto Buchanan, Buchanan, Libéria
Valle de Uco, Mendoza, Argentina
Lutsk, Ucrânia
Krivyy Rih, Ucrânia
Luhansk, Ucrânia
Berdyansk, Ucrânia
Kharkiv, Ucrânia
Mykolayiv, Ucrânia
Quieve, Ucrânia
Khmel´nyts´kyy, Ucrânia
Aeroporto Ukhta, Ukhta, Rússia
Udaipur, Rajasthan, Índia
Udaquiola, Buenos Aires, Argentina
Gobernador Udaondo, Buenos Aires, Argentina
Ulan Ude, Rússia
Udine, Regi??utonoma Friuli Venezia Giulia, Itália
Aeroporto Uzhgorod, Uzhgorod, Ucrânia
Izhevsk, Udmurtskaya Respublika, Rússia
Aeroporto Airfield, Udine, Itália
Ban Mak Khaeng, Changwat Udon Thani, Tailândia
Udomxay, República Popular Democrática do Laos
Aeroporto Dabok, Udaipur, Índia
Ueckermuende, Land Mecklenburg-Vorpommern, Alemanha
Ueckeritz, Land Mecklenburg-Vorpommern, Alemanha
Aeroporto Queenstown, Queenstown, Austrália
Uehlingen-Birkendorf, Baden-Württemberg, Alemanha
Aeroporto Quelimane, Quelimane, Moçambique
Aeroporto Kumejima, Kume Jima, Japão
Aeroporto Quetta, Quetta, Paquistão
Ufa, Bashkortostan, Rússia
Ugarteche, Mendoza, Argentina
Kampala, Uganda
Pakuba, Northern Region, Uganda
Soroti, Eastern Region, Uganda
Uganik, Alasca, Estados Unidos
Kabalega, Uganda
Moyo, Northern Region, Uganda
Tororo, Eastern Region, Uganda
Aeroporto Ugashik Bay, Pilot Point, Estados Unidos
Ugchelen, Provincie Gelderland, Holanda
Aeroporto Uganik, Uganik, Estados Unidos
Aeroporto Uige, Uige, Angola
Uherske Hradiste, Zlinsky kraj, República Checa
Aeroporto RAF Station, Upper Heyford, Reino Unido
Aeroporto Quibdo, Quibdo, Colômbia
Uige, Uige, Angola
Negage, Uige, Angola
Aeroporto Qui Nhon, Quy Nhon, Vietname
Aeroporto Utila, Utila Island, Honduras
Aeroporto Ust-Ilimsk, UstIlimsk, Rússia
Aeroporto Municipal, Quincy, Estados Unidos
Aeroporto Mariscal Sucre (Nueva Terminal), Quito, Equador
Aeroporto Pluguffan, Quimper, França
Aeroporto Quine Hill, Quine Hill, Vanuatu
Uirauna, Paraíba, Brasil
Aeroporto Jaluit Island, Jabor Jaluit, Ilhas Marshall
Ujae Island, Ilhas Marshall
Aeroporto Ujae Island, Ujae Island, Ilhas Marshall
Ujung Pandang, Indonésia
Aeroporto Kobe, Osaka, Japão
Ukhta, Komi, Rússia
Ukiah, Califórnia, Estados Unidos
Aeroporto Ust-kamenogorsk, Oskeman, Cazaquistão
Krivyy Rih, Ucrânia
Lutsk, Ucrânia
Berdyansk, Ucrânia
Kharkiv, Ucrânia
Mykolayiv, Ucrânia
Khmel´nyts´kyy, Ucrânia
Quieve, Ucrânia
Luhansk, Ucrânia
Aeroporto Nuku, Nuku, Papua-Nova Guiné
Aeroporto Kansai, Kyoto, Japão
Ulan Ude, Rússia
Ulan Bator, Ulaanbaatar Hot, Mongólia
Ulanhot, Inner Mongolia Autonomous Region, República Popular da China
Aeroporto Ulei, Ulei, Vanuatu
Aeroporto Ulundi, Ulundi, África do Sul
Ulei, Vanuatu
Ulithi Island, Ilhas Menores Distantes dos Estados Unidos
Ulianopolis, Pará, Brasil
Aeroporto Mull, Mull, Reino Unido
Ulm, Baden-Württemberg, Alemanha
New Ulm, Minnesota, Estados Unidos
Aeroporto Internacional Chinggis Khaan, Ulan Bator, Mongólia
Aeroporto Quilpie, Quilpie, Austrália
Aeroporto General Ulpiano Paez, Salinas, Equador
Ulsan, Ulsan, República da Coréia
Ulundi, KwaZulu-Natal, África do Sul
Ulvik, Hordaland Fylke, Noruega
Ulyanovsk Baratayevka Airport, Ulyanovsk, Rússia
Aeroporto Vostochny, Simbirsk, Rússia
Perúgia, Umbria, Itália
Foligno, Umbria, Itália
Umba, Morobe, Papua-Nova Guiné
Aeroporto Umba, Umba, Papua-Nova Guiné
Aeroporto Uummannaq, Uummannaq, Groenlândia
Umea, Vaesterbottens Laen, Suécia
Umirim, Ceará, Brasil
Umiat, Alasca, Estados Unidos
Umiujaq, Canadá
Umm Alquwain, Emirados Árabes Unidos
Umnak, Alasca, Estados Unidos
Umnak Island, Alasca, Estados Unidos
Aeroporto Woomera, Woomera, Austrália
Umtata, África do Sul
Umuarama, Parana, Brasil
Aeroporto Sumy, Sumy, Ucrânia
Unayzah, Arábia Saudita
Unalakleet, Alasca, Estados Unidos
Una, Bahia, Brasil
Unalaska, Alasca, Estados Unidos
Unai, Minas Gerais, Brasil
Undarra, Nova Gales do Sul, Austrália
Aeroporto Qachas Nek, Qachas Neck, Lesoto
Unguia, Chocó, Colômbia
Miami, Flórida, Estados Unidos
Nova York, Nova Iorque, Estados Unidos
Miami Beach, Flórida, Estados Unidos
Las Vegas, Nevada, Estados Unidos
Kissimmee, Flórida, Estados Unidos
Los Angeles, Califórnia, Estados Unidos
Londres, Inglaterra, Reino Unido
Orlando, Flórida, Estados Unidos
Aeroporto Unalakleet, Unalakleet, Estados Unidos
Aeroporto Ranong, Ranong, Tailândia
Camilo Cienfuegos Uno, Matanzas, Cuba
Unquillo, Córdoba, Argentina
Unst, Reino Unido
Unterfoehring, Baviera, Alemanha
Santos Unzué, Buenos Aires, Argentina
Aeroporto Buol, Buol, Indonésia
Aeroporto Muong Sai, Muong Sai, República Popular Democrática do Laos
Upavon, Inglaterra, Reino Unido
Upala, Alajuela, Costa Rica
Aeroporto Havana, Praia Baracoa, Havana, Cuba
Upernavik, Qaasuitsup, Groenlândia
Aeroporto Pforheim, Pforzheim, Alemanha
Aeroporto Hasanudin, Ujung Pandang, Indonésia
Upington, Northern Cape, África do Sul
Barranca de Upi, Meta, Colômbia
Upiara, Western, Papua-Nova Guiné
Upland, Califórnia, Estados Unidos
Aeroporto Uruapan, Uruapan, México
Upper Heyford, Inglaterra, Reino Unido
Annai, Upper Takutu-Upper Essequibo Region, Guyana
Lethem, Upper Takutu-Upper Essequibo Region, Guyana
Karasabai, Upper Takutu-Upper Essequibo Region, Guyana
Karanambo, Upper Takutu-Upper Essequibo Region, Guyana
Waldkirchen am Wesen, Oberoesterreich, Áustria
Fianarantsoa, Haute Matsiatra Region, Madagáscar
Linz, Oberoesterreich, Áustria
Aeroporto Upiara, Upiara, Papua-Nova Guiné
Aeroporto Upavon, Upavon, Reino Unido
Luxor, Muhafazat al Uqsur, Egito
Uranium City, Canadá
San Juan de Uraba, Antioquia, Colômbia
San Pedro de Uraba, Antioquia, Colômbia
Urbano Noris, Holguin, Cuba
Aeroporto Urumqi, Urumqi, República Popular da China
Castro Urdiales, Cantábria, Espanha
Urdinarrain, Entre Rios, Argentina
Urdampilleta, Buenos Aires, Argentina
Novyy Urengoy, Yamalo-Nenetskiy Avtonomnyy Okrug, Rússia
Seo de Urgel, Catalunya, Espanha
Urgench, Xorazm Viloyati, Uzbequistão
Urgoon, Afeganistão
Uriman, Bolívar, Venezuela
Uriburu, La Pampa, Argentina
Uribelarrea, Buenos Aires, Argentina
Uribe, Meta, Colômbia
Lauribe, Meta, Colômbia
Uriangato, Guanajuato, México
Aeroporto Urgoon, Urgoon, Afeganistão
Aeroporto Boos, Ruão, França
Arroyo Urquiza, Entre Rios, Argentina
Centro Urquiza, Buenos Aires, Argentina
Villa Urquiza, Entre Rios, Argentina
Urrao, Antioquia, Colômbia
Aeroporto Kursk, Kursk, Rússia
Aeroporto Surat Thani, Surat Thani, Tailândia
Montevidéu, Montevideo, Uruguai
Urupema, Santa Catarina, Brasil
Urubici, Santa Catarina, Brasil
Punta del Este, Maldonado, Uruguai
Uruguaiana, Rio Grande do Sul, Brasil
Colonia del Sacramento, Colonia, Uruguai
Urubamba, Cusco, Peru
Rivera, Rivera, Uruguai
Aeroporto Gurayat, Gurayat, Arábia Saudita
Aeroporto Uruzgan, Uruzgan, Afeganistão
Usak, Usak, Turquia
Aeroporto USCG Shore Station, Guam, Guam
Useless Loop, Austrália
Ushuaia, Tierra del Fuego, Argentina
Usino, Papua-Nova Guiné
Usinsk, Rússia
Aeroporto Usinsk, Usinsk, Rússia
Aeroporto Useless Loop, Useless Loop, Austrália
Aeroporto Koh Samui, Ko Samui, Tailândia
Aeroporto Ulsan, Ulsan, República da Coréia
Aeroporto Usino, Usino, Papua-Nova Guiné
Uspallata, Mendoza, Argentina
Aeroporto Usak, Usak, Turquia
Ustuop, Panamá
Terezin, Ustecky kraj, República Checa
UstIlimsk, Rússia
Ushuaia, Tierra del Fuego, Argentina
Salt Lake City, Utah, Estados Unidos
Delta, Utah, Estados Unidos
Panguitch, Utah, Estados Unidos
Roosevelt, Utah, Estados Unidos
Saint George, Utah, Estados Unidos
Kearns, Utah, Estados Unidos
Park City, Utah, Estados Unidos
Price, Utah, Estados Unidos
Aeroporto Muttaburra, Muttaburra, Austrália
Aeroporto Nutwood Downs, Nutwood Downs, Austrália
Aeroporto Butterworth, Butterworth, África do Sul
Aeroporto Udon Thani, Ban Mak Khaeng, Tailândia
Utica, Nova Iorque, Estados Unidos
Utica, Michigan, Estados Unidos
Utila Island, Honduras
Utirik, Ilhas Marshall
Utinga, Bahia, Brasil
Aeroporto Utirik Island, Utirik, Ilhas Marshall
Aeroporto Upington, Upington, África do Sul
Utopia Creek, Alasca, Estados Unidos
Prata di Pordenone, Regi??utonoma Friuli Venezia Giulia, Itália
Trieste, Regi??utonoma Friuli Venezia Giulia, Itália
Udine, Regi??utonoma Friuli Venezia Giulia, Itália
Aviano, Regi??utonoma Friuli Venezia Giulia, Itália
Aeroporto Utapao, U-Taphao, Tailândia
Abcoude, Provincie Utrecht, Holanda
Amersfoort, Provincie Utrecht, Holanda
Soesterberg, Utrecht, Holanda
Utsunomiya, Tochigi-ken, Japão
Rae Bareli, Uttar Pradesh, Índia
Uttaradit, Changwat Uttaradit, Tailândia
Varanasi, Uttar Pradesh, Índia
Muzaffarnagar, Uttar Pradesh, Índia
Lucknow, Uttar Pradesh, Índia
Allahabad, Uttar Pradesh, Índia
Srinagar, Uttarakhand, Índia
Dehradun, Uttarakhand, Índia
Aeroporto Ustupo, Ustuop, Panamá
Aeroporto Queenstown, Queenstown, África do Sul
Aeroporto Bugulma, Bugulma, Rússia
Aeroporto Ulan-ude, Mukhino, Ulan Ude, Rússia
Uummannaq, Qaasuitsup, Groenlândia
Lapinjaervi, Uusimaa, Finlândia
Aeroporto Manumu, Manumu, Papua-Nova Guiné
Uvalde, Texas, Estados Unidos
Aeroporto Ouvea, Ouvea, Nova Caledônia
Aeroporto Hewanorra, Castries, Santa Lúcia
Aeroporto Kharga, New Valley, Egito
Uvol, East New Britain, Papua-Nova Guiné
Uxmal, Yucatán, México
Uyak, Alasca, Estados Unidos
Karamay, Xinjiang Uygur Zizhiqu, República Popular da China
Kuqa, Xinjiang Uygur Zizhiqu, República Popular da China
Aksu, Xinjiang Uygur Zizhiqu, República Popular da China
Fuyun, Xinjiang Uygur Zizhiqu, República Popular da China
Hami, Xinjiang Uygur Zizhiqu, República Popular da China
Altay, Xinjiang Uygur Zizhiqu, República Popular da China
Kashi, Xinjiang Uygur Zizhiqu, República Popular da China
Korla, Xinjiang Uygur Zizhiqu, República Popular da China
Aeroporto Yulin, Yulin, República Popular da China
Uyuni, Potosi, Bolívia
Bukhoro, Bukhara, Uzbequistão
Qarshi, Qashqadaryo, Uzbequistão
Andijon, Andijan, Uzbequistão
Urgench, Xorazm Viloyati, Uzbequistão
Nukus, Karakalpakstan, Uzbequistão
Namangan, Namangan, Uzbequistão
Tashkent, Toshkent Shahri, Uzbequistão
Farghona, Fergana, Uzbequistão
Uzcudun, Chubut, Argentina
Uzhgorod, Zakarpattia Oblast, Ucrânia
Vaal Marina, Gauteng, África do Sul
Vaasa, Finlândia
Vacaria, Rio Grande do Sul, Brasil
Punta de Vacas, Mendoza, Argentina
El Vado, San Luis Potosí, México
Vadsoe, Noruega
Vaeroy, Noruega
Umea, Vaesterbottens Laen, Suécia
Torsby, Vaermlands Laen, Suécia
Karlstad, Vaermlands Laen, Suécia
Sundsvall, Vaesternorrlands Laen, Suécia
Gotemburgo, Vaestra Goetalands Laen, Suécia
Hagfors, Vaermlands Laen, Suécia
Kvissleby, Vaesternorrlands Laen, Suécia
Aeroporto Chabeuil, Valence, França
Vaga, Oppland, Noruega
Sorvag, Vaga Sysla, Ilhas Faroe
Vahitahi, França
Vahtraste, Saaremaa, Estónia
Eagle-Vail, Colorado, Estados Unidos
Asau, Vaisigano, Samoa
Vail, Colorado, Estados Unidos
Ouanda Djalle, Vakaga, República Centro-Africana
Vale Nevado, Santiago, Chile
Valinhos, São Paulo, Brasil
Valença, Bahia, Brasil
Valência, Comunidade Valenciana, Espanha
Puerto Vallarta, Jalisco, México
Valparaiso, Região de Valparaíso, Chile
Governador Valadares, Minas Gerais, Brasil
Valença, Rio de Janeiro, Brasil
North Vancouver, Colúmbia Britânica, Canadá
Van, Van, Turquia
Vanrook, Austrália
Van Horn, Texas, Estados Unidos
Van Wert, Ohio, Estados Unidos
Vangrieng, República Popular Democrática do Laos
Vannes, Bretanha, França
Vancouver, Colúmbia Britânica, Canadá
Aeroporto Suavanao Airstrip, Suavanao, Ilhas Salomão
Varadero, Matanzas, Cuba
Puerto Varas, Região dos Lagos, Chile
Varginha, Minas Gerais, Brasil
Vargem Alta, Espírito Santo, Brasil
Varsóvia, Voivodato de Masóvia, Polónia
Vardo, Finnmark Fylke, Noruega
Varna, Varna, Bulgária
Várzea Grande, Mato Grosso, Brasil
Vassouras, Rio de Janeiro, Brasil
São Sebastião, Euskal Autonomia Erkidegoa, Espanha
Vastervik, Suécia
Vasteras, Vaestmanlands Laen, Suécia
Ferraz de Vasconcelos, São Paulo, Brasil
Ayala, Euskal Autonomia Erkidegoa, Espanha
Bilbau, Euskal Autonomia Erkidegoa, Espanha
Gotemburgo, Vaestra Goetalands Laen, Suécia
Vatukoula, Western, Fiji
Vatomandry, Atsinanana Region, Madagáscar
Mananjary, Vatovavy Fitovinany Region, Madagáscar
Manakara, Vatovavy Fitovinany Region, Madagáscar
Vatulele, Fiji
Lausanne, Canton de Vaud, Suíça
Caruru, Vaupés, Colômbia
Mitu, Vaupés, Colômbia
Yavarate, Vaupés, Colômbia
Rennaz, Canton de Vaud, Suíça
Montreux, Canton de Vaud, Suíça
Vaux-en-Beaujolais, Ródano-Alpes, França
Grandvaux, Canton de Vaud, Suíça
Vavau, Tonga
Aeroporto Vardoe, Vardo, Noruega
Vaxjo, Kronoberg, Suécia
Vaz-Obervaz, Kanton Graubunden, Suíça
Aeroporto Vanuabalavu, Vanuabalavu, Fiji
Aeroporto Visby, Visby, Suécia
Aeroporto Can Tho, Can Tho, Vietname
Aeroporto Limbe, Victoria, Camarões
Aeroporto Victoria River Downs, Victoria River Downs, Austrália
Aeroporto Marco Polo, Veneza, Itália
Aeroporto Internacional Viracopos, São Paulo, Brasil
Aeroporto County-Foster, Victoria, Estados Unidos
Aeroporto Southern California Logistics, Victorville, Estados Unidos
Aeroporto Ovda, Ovda, Israel
Aeroporto Valdres Lufthavn Leirin, Fagernes, Noruega
Aeroporto Vitoria Da Conquista, Vitória da Conquista, Brasil
Aeroporto Hierro, Valverde, Espanha
Aeroporto Viedma, Viedma, Argentina
Aeroporto Vadso, Vadsoe, Noruega
Aeroporto Municipal, Valdez, Estados Unidos
Chapada dos Veadeiros, Goiás, Brasil
Vedia, Buenos Aires, Argentina
Vedado, Las Tunas, Cuba
Aeroporto Venetie, Venetie, Estados Unidos
Santiago de las Vegas, La Habana, Cuba
Las Vegas, Nevada, Estados Unidos
Constanza, La Vega, República Dominicana
Jarabacoa, La Vega, República Dominicana
Gómez de la Vega, Buenos Aires, Argentina
Veinticinco de Mayo, Mendoza, Argentina
Veintiocho de Noviembre, Santa Cruz, Argentina
Veinticinco de Mayo, La Pampa, Argentina
Veinticinco de Mayo, Buenos Aires, Argentina
Veinticinco de Mayo, Misiones, Argentina
Vejle, Region Syddanmark, Dinamarca
Porto Velho, Rondônia, Brasil
Andorra-a-Velha, Parroquia de Andorra la Vella, Andorra
Rancho Veloz, Villa Clara, Cuba
Missao Velha, Ceará, Brasil
Monte Veloz, Buenos Aires, Argentina
Puerto Velaz, Formosa, Argentina
Barra Velha, Santa Catarina, Brasil
Vila Velha, Espírito Santo, Brasil
Venda Nova do Imigrante, Espírito Santo, Brasil
Presidente Venceslau, São Paulo, Brasil
Verona, Veneto, Itália
Pádua, Veneto, Itália
Los Roques, Venezuela
Ilha de Margarita, Nueva Esparta, Venezuela
Veneza, Veneto, Itália
Venancio Aires, Rio Grande do Sul, Brasil
Monte Verde, Minas Gerais, Brasil
Rio Verde, Goiás, Brasil
Lucas do rio Verde, Mato Grosso, Brasil
Praia, Concelho da Praia, Cabo Verde
Vera, Santa Fe, Argentina
Vero Beach, Flórida, Estados Unidos
Verona, Veneto, Itália
Sal, Cabo Verde
Vespasiano, Minas Gerais, Brasil
Vestmannaeyjar, Sul, Islândia
Sandefjord, Vestfold fylke, Noruega
Kristiansand, Vest-Agder Fylke, Noruega
Aeroporto Barakoma, Barakoma, Ilhas Salomão
Aeroporto Vestmannaeyjar, Vestmannaeyjar, Islândia
Aeroporto Victoria Falls, Victoria Falls, Zimbábue
Aeroporto Vijayawada, Vijayawada, Índia
Aeroporto Vangrieng, Vangrieng, República Popular Democrática do Laos
Aeroporto Vigo, Vigo, Espanha
Aeroporto North Air Terminal, Las Vegas, Estados Unidos
Aeroporto Villagarzon, Villagarzon, Colômbia
Aeroporto Saurimo, Saurimo, Angola
Aeroporto Vilhelmina, Vilhelmina, Suécia
Aeroporto Charmeil, Vichy, França
Aeroporto Vahitahi, Vahitahi, França
Viamão, Rio Grande do Sul, Brasil
Viana, Espírito Santo, Brasil
Boa Viagem, Ceará, Brasil
Boa Viagem, Pernambuco, Brasil
Viamonte, Córdoba, Argentina
Vianopolis, Goiás, Brasil
Viale, Entre Rios, Argentina
Viena, Viana, Áustria
Sao Vicente, São Paulo, Brasil
Vicosa, Minas Gerais, Brasil
Nova Vicosa, Bahia, Brasil
Vichy, Region Auvergne, França
Vicuña, Coquimbo, Chile
Melbourne, Victoria, Austrália
Vicenza, Veneto, Itália
Victoria, Colúmbia Britânica, Canadá
Vidin, Oblast Vidin, Bulgária
Zenón Videla Dorna, Buenos Aires, Argentina
Coronel Vidal, Buenos Aires, Argentina
Videla, Santa Fe, Argentina
Videira, Santa Catarina, Brasil
Viena, Viana, Áustria
Andorra-a-Velha, Parroquia de Andorra la Vella, Andorra
Mountain View, Califórnia, Estados Unidos
Vieques, Porto Rico
Viedma, Rio Negro, Argentina
Vientiane, Vientiane Prefecture, República Popular Democrática do Laos
Hanoi, Thanh Pho Ha Noi, Vietname
Nha-Trang, Vietname
Vigo, A Galiza, Espanha
Las Vigas, Veracruz-Llave, México
El Vigia, Mérida, Venezuela
Vigia, Pará, Brasil
Vigan, Ilocos, Filipinas
Vijlen, Provincie Limburg, Holanda
Vijayawada, Andhra Pradesh, Índia
Vila Velha, Espírito Santo, Brasil
Vilamoura, Faro, Portugal
Vilhena, Rondônia, Brasil
Villa Carlos Paz, Córdoba, Argentina
North Bay Village, Flórida, Estados Unidos
Villa General Belgrano, Córdoba, Argentina
Vilnius, Vilniaus Apskritis, Lituânia
Villa La Angostura, Neuquén, Argentina
Aeroporto Hultsfred - Vimmerby, Hultsfred, Suécia
Vinhedo, São Paulo, Brasil
Vinci, Toscana, Itália
Phu Vinh, Vietname
Vinh Long, Tinh Vinh Long, Vietname
Vinings, Geórgia, Estados Unidos
Vinales, Pinar del Rio, Cuba
Vinaros, Comunidade Valenciana, Espanha
Vina del Mar, Região de Valparaíso, Chile
Viqueque, Indonésia
Richmond, Virginia, Estados Unidos
Viru, Ilhas Salomão
Virginia, Santa Fe, Argentina
Virreyes, Buenos Aires, Argentina
Virac, Bicol, Filipinas
Alexandria, Virginia, Estados Unidos
Virmond, Parana, Brasil
Virgin Gorda, Ilhas Virgens Britânicas
Boa Vista, Roraima, Brasil
Sao Joao da Boa Vista, São Paulo, Brasil
Malay, Western Visayas, Filipinas
Lamego, Viseu, Portugal
Visby, Gotland, Suécia
Del Viso, Buenos Aires, Argentina
Visconde de Mauá, Rio de Janeiro, Brasil
Viseu, Viseu, Portugal
Vitória, Espírito Santo, Brasil
Vittel, Region Lorraine, França
Vitrac, Aquitânia, França
Vitsyebsk, Bielo-Rússia
Vitorino, Parana, Brasil
Vitória-Gasteiz, Euskal Autonomia Erkidegoa, Espanha
Vitória da Conquista, Bahia, Brasil
Uniao da Vitoria, Parana, Brasil
Aeroporto Viru Harbour Airstrip, Viru, Ilhas Salomão
Vivorata, Buenos Aires, Argentina
Coronel Vivida, Parana, Brasil
Vivigani, Milne Bay, Papua-Nova Guiné
Lviv, L'vivs'ka Oblast, Ucrânia
Atilio Vivacqua, Espírito Santo, Brasil
Aeroporto Eurico Sales, Vitória, Brasil
Vizag, Índia
Key Biscayne, Flórida, Estados Unidos
Aeroporto Xai Xai, Xai-Xai, Moçambique
Aeroporto Gurue, Vila Junqueiro, Moçambique
Aeroporto Rach Gia, Rach Gia, Vietname
Aeroporto Vnukovo, Moscou, Rússia
Aeroporto Vorkuta, Vorkuta, Rússia
Vladivostok, Rússia
Vladikavakaz, Rússia
Aeroporto Valencia, Valência, Espanha
Aeroporto Regional, Valdosta, Estados Unidos
Aeroporto Bauerfield, Port Vila, Vanuatu
Aeroporto Volgodonsk, Volgodonsk, Rússia
Aeroporto Valladolid, Valhadolide, Espanha
Aeroporto Internacional Arturo Michelena, Valência, Venezuela
Aeroporto Municipal, Vila Rica, Brasil
San Ignacio de VLS, Bolívia
Aeroporto Velikiye Luki, Velikiye Luki, Rússia
Aeroporto Carvajal, Valera, Venezuela
Aeroporto Villa Reynols, Villa Mercedes, Argentina
Aeroporto Baimuru, Baimuru, Papua-Nova Guiné
Aeroporto Saravane, Saravane, República Popular Democrática do Laos
Aeroporto Meucon, Vannes, França
Aeroporto Vilnius, Vilnius, Lituânia
Aeroporto Vanrook, Vanrook, Austrália
Aeroporto Varanasi, Varanasi, Índia
Aeroporto Vnukovo, Moscou, Rússia
Aeroporto Vilanculos, Vilanculos, Moçambique
Minsk, Minskaya Voblasts, Bielo-Rússia
Mineralniye Vody, Rússia
Voeren, Flemish Region, Bélgica
Cape Vogel, Papua-Nova Guiné
Vohemar, Madagáscar
Varsóvia, Voivodato de Masóvia, Polónia
Szymany, Wojewodztwo Lodzkie, Polónia
Voinjama, Lofa, Libéria
Koszalin, Zachodniopomorskie, Polónia
Cracóvia, Pequena Polónia, Polónia
Szczecin, Zachodniopomorskie, Polónia
Gdansk, Pomorskie, Polónia
Slupsk, Pomorskie, Polónia
Aeroporto Vojens, Skrydstrup, Dinamarca
Volta Redonda, Rio de Janeiro, Brasil
Volos, Grécia
Volvi, Central Macedonia, Grécia
Volgogrado, Volgogradskaya Oblast, Rússia
Volgodonsk, Rostovskaya Oblast, Rússia
El Volcan, San Luis, Argentina
Oersta / Volda, Noruega
Volta Grande, Minas Gerais, Brasil
Vopnafjordur, Leste, Islândia
Voronezh, Rússia
Vorkuta, Komi, Rússia
Hohenems, Vorarlberg, Áustria
Dornbirn, Vorarlberg, Áustria
Ueckermuende, Land Mecklenburg-Vorpommern, Alemanha
Lochau, Vorarlberg, Áustria
Mellau, Vorarlberg, Áustria
Roethis, Vorarlberg, Áustria
Aeroporto Vostochny, Simbirsk, Rússia
Votorantim, São Paulo, Brasil
Votuporanga, São Paulo, Brasil
Aeroporto Chertovitskoye, Voronezh, Rússia
Aeroporto Ongiva, Ongiva, Angola
Aeroporto Vopnafjordur, Vopnafjordur, Islândia
Aeroporto Eglin AFB, Fort Walton Beach, Estados Unidos
Aeroporto Vieques, Vieques, Porto Rico
Vrakun, Trnavsky kraj, Eslováquia
Aeroporto Virac, Virac, Filipinas
Vresse-sur-semois, Walloon Region, Bélgica
Vredendal, the Western Cape, África do Sul
Aeroporto Varkaus, Varkaus, Finlândia
Aeroporto Vila Real, Vila Real, Portugal
Aeroporto Valerio Catullo, Verona, Itália
Aeroporto Vryburg, Vryburg, África do Sul
Vryheid, KwaZulu-Natal, África do Sul
